Organism	Name	Group	Condition	Description
Burkholderia phytofirmans PsJN	set2IT079	carbon source	D-Glucosamine Hydrochloride	D-Glucosamine Hydrochloride (C)
Burkholderia phytofirmans PsJN	set1IT001	carbon source	D-Glucose	D-Glucose (C)
Burkholderia phytofirmans PsJN	set1IT014	carbon source	D-Mannitol	D-Mannitol (C)
Burkholderia phytofirmans PsJN	set1IT029	carbon source	D-Mannose	D-Mannose (C)
Burkholderia phytofirmans PsJN	set1IT007	carbon source	D-Ribose	D-Ribose (C)
Burkholderia phytofirmans PsJN	set1IT016	carbon source	D-Sorbitol	D-Sorbitol (C)
Burkholderia phytofirmans PsJN	set2IT070	carbon source	D-Xylose	D-Xylose (C)
Burkholderia phytofirmans PsJN	set2IT077	carbon source	Gly-Glu	Gly-Glu (C)
Burkholderia phytofirmans PsJN	set1IT023	carbon source	L-Alanine	L-Alanine (C)
Burkholderia phytofirmans PsJN	set1IT004	carbon source	L-Arabinose	L-Arabinose (C)
Burkholderia phytofirmans PsJN	set2IT076	carbon source	L-Arginine	L-Arginine (C)
Burkholderia phytofirmans PsJN	set1IT020	carbon source	L-Asparagine	L-Asparagine (C)
Burkholderia phytofirmans PsJN	set2IT071	carbon source	L-Fucose	L-Fucose (C)
Burkholderia phytofirmans PsJN	set1IT021	carbon source	L-Glutamine	L-Glutamine (C)
Burkholderia phytofirmans PsJN	set1IT019	carbon source	L-Histidine	L-Histidine (C)
Burkholderia phytofirmans PsJN	set1IT018	carbon source	L-Malic acid disodium salt monohydrate	L-Malic (C)
Burkholderia phytofirmans PsJN	set1IT024	carbon source	L-Phenylalanine	L-Phenylalanine (C)
Burkholderia phytofirmans PsJN	set1IT022	carbon source	L-Proline	L-Proline (C)
Burkholderia phytofirmans PsJN	set1IT006	carbon source	L-Rhamnose monohydrate	L-Rhamnose (C)
Burkholderia phytofirmans PsJN	set1IT025	carbon source	L-Tryptophan	L-Tryptophan (C)
Burkholderia phytofirmans PsJN	set1IT028	carbon source	N-Acetyl-D-Glucosamine	NAG (C)
Burkholderia phytofirmans PsJN	set1IT027	carbon source	Putrescine Dihydrochloride	Putrescine (C)
Burkholderia phytofirmans PsJN	set1IT011	carbon source	Sodium D,L-Lactate	D,L-Lactate (C)
Burkholderia phytofirmans PsJN	set1IT009	carbon source	Sodium D-Lactate	D-Lactate (C)
Burkholderia phytofirmans PsJN	set1IT010	carbon source	Sodium L-Lactate	L-Lactate (C)
Burkholderia phytofirmans PsJN	set1IT012	carbon source	Sodium pyruvate	pyruvate (C)
Burkholderia phytofirmans PsJN	set1IT013	carbon source	Sodium succinate dibasic hexahydrate	succinate (C)
Burkholderia phytofirmans PsJN	set1IT003	carbon source	Sucrose	Sucrose (C)
Burkholderia phytofirmans PsJN	set2IT072	carbon source	Trisodium citrate dihydrate	Trisodium citrate (C)
Burkholderia phytofirmans PsJN	set1IT017	carbon source	Tween 20	Tween 20 (C)
Burkholderia phytofirmans PsJN	set2IT073	carbon source	Xylitol	Xylitol (C)
Burkholderia phytofirmans PsJN	set2IT074	carbon source	m-Inositol	m-Inositol (C)
Caulobacter crescentus NA1000	set1IT016	carbon source	Beta-Lactose	Beta-Lactose (C)
Caulobacter crescentus NA1000	set1IT033	carbon source	Beta-Lactose	Beta-Lactose (C)
Caulobacter crescentus NA1000	set1IT050	carbon source	Beta-Lactose	Beta-Lactose (C)
Caulobacter crescentus NA1000	set1IT007	carbon source	D-Cellobiose	D-Cellobiose (C)
Caulobacter crescentus NA1000	set1IT024	carbon source	D-Cellobiose	D-Cellobiose (C)
Caulobacter crescentus NA1000	set1IT041	carbon source	D-Cellobiose	D-Cellobiose (C)
Caulobacter crescentus NA1000	set1IT001	carbon source	D-Glucose	D-Glucose (C)
Caulobacter crescentus NA1000	set1IT018	carbon source	D-Glucose	D-Glucose (C)
Caulobacter crescentus NA1000	set1IT035	carbon source	D-Glucose	D-Glucose (C)
Caulobacter crescentus NA1000	set1IT003	carbon source	D-Maltose monohydrate	D-Maltose (C)
Caulobacter crescentus NA1000	set1IT020	carbon source	D-Maltose monohydrate	D-Maltose (C)
Caulobacter crescentus NA1000	set1IT037	carbon source	D-Maltose monohydrate	D-Maltose (C)
Caulobacter crescentus NA1000	set1IT008	carbon source	D-Mannitol	D-Mannitol (C)
Caulobacter crescentus NA1000	set1IT025	carbon source	D-Mannitol	D-Mannitol (C)
Caulobacter crescentus NA1000	set1IT042	carbon source	D-Mannitol	D-Mannitol (C)
Caulobacter crescentus NA1000	set1IT017	carbon source	D-Mannose	D-Mannose (C)
Caulobacter crescentus NA1000	set1IT034	carbon source	D-Mannose	D-Mannose (C)
Caulobacter crescentus NA1000	set1IT051	carbon source	D-Mannose	D-Mannose (C)
Caulobacter crescentus NA1000	set1IT005	carbon source	D-Raffinose pentahydrate	D-Raffinose (C)
Caulobacter crescentus NA1000	set1IT022	carbon source	D-Raffinose pentahydrate	D-Raffinose (C)
Caulobacter crescentus NA1000	set1IT039	carbon source	D-Raffinose pentahydrate	D-Raffinose (C)
Caulobacter crescentus NA1000	set1IT015	carbon source	D-Salicin	D-Salicin (C)
Caulobacter crescentus NA1000	set1IT032	carbon source	D-Salicin	D-Salicin (C)
Caulobacter crescentus NA1000	set1IT049	carbon source	D-Salicin	D-Salicin (C)
Caulobacter crescentus NA1000	set1IT004	carbon source	D-Xylose	D-Xylose (C)
Caulobacter crescentus NA1000	set1IT021	carbon source	D-Xylose	D-Xylose (C)
Caulobacter crescentus NA1000	set1IT038	carbon source	D-Xylose	D-Xylose (C)
Caulobacter crescentus NA1000	set1IT013	carbon source	L-Alanine	L-Alanine (C)
Caulobacter crescentus NA1000	set1IT030	carbon source	L-Alanine	L-Alanine (C)
Caulobacter crescentus NA1000	set1IT047	carbon source	L-Alanine	L-Alanine (C)
Caulobacter crescentus NA1000	set1IT010	carbon source	L-Glutamic acid monopotassium salt monohydrate	L-Glutamic (C)
Caulobacter crescentus NA1000	set1IT027	carbon source	L-Glutamic acid monopotassium salt monohydrate	L-Glutamic (C)
Caulobacter crescentus NA1000	set1IT044	carbon source	L-Glutamic acid monopotassium salt monohydrate	L-Glutamic (C)
Caulobacter crescentus NA1000	set1IT012	carbon source	L-Proline	L-Proline (C)
Caulobacter crescentus NA1000	set1IT029	carbon source	L-Proline	L-Proline (C)
Caulobacter crescentus NA1000	set1IT046	carbon source	L-Proline	L-Proline (C)
Caulobacter crescentus NA1000	set1IT014	carbon source	N-Acetyl-D-Glucosamine	NAG (C)
Caulobacter crescentus NA1000	set1IT031	carbon source	N-Acetyl-D-Glucosamine	NAG (C)
Caulobacter crescentus NA1000	set1IT048	carbon source	N-Acetyl-D-Glucosamine	NAG (C)
Caulobacter crescentus NA1000	set1IT019	carbon source	Sucrose	Sucrose (C)
Caulobacter crescentus NA1000	set1IT006	carbon source	a-Cyclodextrin	a-Cyclodextrin (C)
Caulobacter crescentus NA1000	set1IT023	carbon source	a-Cyclodextrin	a-Cyclodextrin (C)
Caulobacter crescentus NA1000	set1IT040	carbon source	a-Cyclodextrin	a-Cyclodextrin (C)
Caulobacter crescentus NA1000	set1IT009	carbon source	m-Inositol	m-Inositol (C)
Caulobacter crescentus NA1000	set1IT026	carbon source	m-Inositol	m-Inositol (C)
Caulobacter crescentus NA1000	set1IT043	carbon source	m-Inositol	m-Inositol (C)
Cupriavidus basilensis 4G11	set1IT040	carbon source	4-Hydroxybenzoic Acid	4-Hydroxybenzoic Acid (C)
Cupriavidus basilensis 4G11	set2IT069	carbon source	4-Hydroxybenzoic Acid	4-Hydroxybenzoic Acid (C)
Cupriavidus basilensis 4G11	set2IT057	carbon source	D-Fructose	D-Fructose (C)
Cupriavidus basilensis 4G11	set2IT060	carbon source	D-Gluconic Acid sodium salt	D-Gluconic Acid (C)
Cupriavidus basilensis 4G11	set1IT041	carbon source	Ethanol	Ethanol (C)
Cupriavidus basilensis 4G11	set2IT070	carbon source	Ethanol	Ethanol (C)
Cupriavidus basilensis 4G11	set2IT050	carbon source	L-Alanine	L-Alanine (C)
Cupriavidus basilensis 4G11	set2IT077	carbon source	L-Alanine	L-Alanine (C)
Cupriavidus basilensis 4G11	set1IT045	carbon source	L-Asparagine	L-Asparagine (C)
Cupriavidus basilensis 4G11	set2IT074	carbon source	L-Asparagine	L-Asparagine (C)
Cupriavidus basilensis 4G11	set1IT046	carbon source	L-Glutamine	L-Glutamine (C)
Cupriavidus basilensis 4G11	set2IT075	carbon source	L-Glutamine	L-Glutamine (C)
Cupriavidus basilensis 4G11	set1IT043	carbon source	L-Histidine	L-Histidine (C)
Cupriavidus basilensis 4G11	set2IT072	carbon source	L-Histidine	L-Histidine (C)
Cupriavidus basilensis 4G11	set2IT051	carbon source	L-Leucine	L-Leucine (C)
Cupriavidus basilensis 4G11	set2IT078	carbon source	L-Leucine	L-Leucine (C)
Cupriavidus basilensis 4G11	set1IT042	carbon source	L-Malic acid disodium salt monohydrate	L-Malic (C)
Cupriavidus basilensis 4G11	set2IT071	carbon source	L-Malic acid disodium salt monohydrate	L-Malic (C)
Cupriavidus basilensis 4G11	set2IT052	carbon source	L-Phenylalanine	L-Phenylalanine (C)
Cupriavidus basilensis 4G11	set2IT049	carbon source	L-Proline	L-Proline (C)
Cupriavidus basilensis 4G11	set1IT044	carbon source	L-Threonine	L-Threonine (C)
Cupriavidus basilensis 4G11	set2IT053	carbon source	L-Tryptophan	L-Tryptophan (C)
Cupriavidus basilensis 4G11	set2IT080	carbon source	L-Tryptophan	L-Tryptophan (C)
Cupriavidus basilensis 4G11	set1IT036	carbon source	Sodium D,L-Lactate	D,L-Lactate (C)
Cupriavidus basilensis 4G11	set2IT065	carbon source	Sodium D,L-Lactate	D,L-Lactate (C)
Cupriavidus basilensis 4G11	set1IT034	carbon source	Sodium D-Lactate	D-Lactate (C)
Cupriavidus basilensis 4G11	set2IT063	carbon source	Sodium D-Lactate	D-Lactate (C)
Cupriavidus basilensis 4G11	set1IT035	carbon source	Sodium L-Lactate	L-Lactate (C)
Cupriavidus basilensis 4G11	set2IT064	carbon source	Sodium L-Lactate	L-Lactate (C)
Cupriavidus basilensis 4G11	set2IT056	carbon source	Sodium butyrate	butyrate (C)
Cupriavidus basilensis 4G11	set1IT039	carbon source	Sodium propionate	propionate (C)
Cupriavidus basilensis 4G11	set2IT068	carbon source	Sodium propionate	propionate (C)
Cupriavidus basilensis 4G11	set1IT037	carbon source	Sodium pyruvate	pyruvate (C)
Cupriavidus basilensis 4G11	set2IT066	carbon source	Sodium pyruvate	pyruvate (C)
Cupriavidus basilensis 4G11	set1IT038	carbon source	Sodium succinate dibasic hexahydrate	succinate (C)
Cupriavidus basilensis 4G11	set2IT067	carbon source	Sodium succinate dibasic hexahydrate	succinate (C)
Cupriavidus basilensis 4G11	set1IT030	carbon source	Sucrose	Sucrose (C)
Cupriavidus basilensis 4G11	set1IT033	carbon source	Trisodium citrate dihydrate	Trisodium citrate (C)
Cupriavidus basilensis 4G11	set1IT031	carbon source	a-Ketoglutaric acid disodium salt hydrate	a-Ketoglutaric (C)
Cupriavidus basilensis 4G11	set2IT059	carbon source	a-Ketoglutaric acid disodium salt hydrate	a-Ketoglutaric (C)
Dechlorosoma suillum PS	set2H33	anaerobic	Sodium D,L-Lactate	Anaero. lactate (C), chlorate electron acceptor
Dechlorosoma suillum PS	set2H34	anaerobic	Sodium D,L-Lactate	Anaero. lactate (C), chlorate electron acceptor
Dechlorosoma suillum PS	set2H35	anaerobic	Sodium D,L-Lactate	Anaero. lactate (C), chlorate electron acceptor
Dechlorosoma suillum PS	set2H36	anaerobic	Sodium D,L-Lactate	Anaero. lactate (C), chlorate electron acceptor
Dechlorosoma suillum PS	set2H29	anaerobic	Sodium D,L-Lactate	Anaero. lactate (C), nitrate electron acceptor
Dechlorosoma suillum PS	set2H30	anaerobic	Sodium D,L-Lactate	Anaero. lactate (C), nitrate electron acceptor
Dechlorosoma suillum PS	set2H31	anaerobic	Sodium D,L-Lactate	Anaero. lactate (C), nitrate electron acceptor
Dechlorosoma suillum PS	set2H32	anaerobic	Sodium D,L-Lactate	Anaero. lactate (C), nitrate electron acceptor
Dechlorosoma suillum PS	set2H41	anaerobic	Sodium D,L-Lactate	Anaero. lactate (C), perchlorate electron acceptor
Dechlorosoma suillum PS	set2H42	anaerobic	Sodium D,L-Lactate	Anaero. lactate (C), perchlorate electron acceptor
Dechlorosoma suillum PS	set2H43	anaerobic	Sodium D,L-Lactate	Anaero. lactate (C), perchlorate electron acceptor
Dechlorosoma suillum PS	set2H44	anaerobic	Sodium D,L-Lactate	Anaero. lactate (C), perchlorate electron acceptor
Dechlorosoma suillum PS	set6IT038	carbon source	Sodium D,L-Lactate	D,L-Lactate (C)
Dechlorosoma suillum PS	set6IT044	carbon source	Sodium D,L-Lactate	D,L-Lactate (C)
Dechlorosoma suillum PS	set6IT036	carbon source	Sodium D-Lactate	D-Lactate (C)
Dechlorosoma suillum PS	set6IT042	carbon source	Sodium D-Lactate	D-Lactate (C)
Dechlorosoma suillum PS	set6IT037	carbon source	Sodium L-Lactate	L-Lactate (C)
Dechlorosoma suillum PS	set6IT043	carbon source	Sodium L-Lactate	L-Lactate (C)
Dechlorosoma suillum PS	set6IT040	carbon source	Sodium propionate	propionate (C)
Dechlorosoma suillum PS	set6IT046	carbon source	Sodium propionate	propionate (C)
Dechlorosoma suillum PS	set6IT039	carbon source	Sodium pyruvate	pyruvate (C)
Dechlorosoma suillum PS	set6IT045	carbon source	Sodium pyruvate	pyruvate (C)
Dechlorosoma suillum PS	set6IT035	carbon source	a-Ketoglutaric acid disodium salt hydrate	a-Ketoglutaric (C)
Dechlorosoma suillum PS	set6IT041	carbon source	a-Ketoglutaric acid disodium salt hydrate	a-Ketoglutaric (C)
Desulfovibrio vulgaris Miyazaki F	set6IT008	carbon source	L-Serine	L-Serine (C)
Desulfovibrio vulgaris Miyazaki F	set7IT033	carbon source	L-Serine	L-Serine (C)
Desulfovibrio vulgaris Miyazaki F	set6IT033	carbon source	Sodium D,L-Lactate	20 mM Lactate (C)
Desulfovibrio vulgaris Miyazaki F	set6IT005	carbon source	Sodium D,L-Lactate	D,L-Lactate (C)
Desulfovibrio vulgaris Miyazaki F	set7IT030	carbon source	Sodium D,L-Lactate	D,L-Lactate (C)
Desulfovibrio vulgaris Miyazaki F	set6IT034	carbon source	Sodium D,L-Lactate	60 mM Lactate (C)
Desulfovibrio vulgaris Miyazaki F	set6IT003	carbon source	Sodium D-Lactate	D-Lactate (C)
Desulfovibrio vulgaris Miyazaki F	set7IT028	carbon source	Sodium D-Lactate	D-Lactate (C)
Desulfovibrio vulgaris Miyazaki F	set6IT004	carbon source	Sodium L-Lactate	L-Lactate (C)
Desulfovibrio vulgaris Miyazaki F	set7IT029	carbon source	Sodium L-Lactate	L-Lactate (C)
Desulfovibrio vulgaris Miyazaki F	set7IT039	carbon source	casamino acids	casaminos (C)
Desulfovibrio vulgaris Miyazaki F	set6IT012	carbon source	casamino acids	casaminos (C)
Dinoroseobacter shibae DFL-12	set3H5	carbon source	D-Glucose	D-Glucose (C)
Dinoroseobacter shibae DFL-12	set3H26	carbon source	D-Glucose	D-Glucose (C)
Dinoroseobacter shibae DFL-12	set3H7	carbon source	D-Maltose monohydrate	D-Maltose (C)
Dinoroseobacter shibae DFL-12	set3H28	carbon source	D-Maltose monohydrate	D-Maltose (C)
Dinoroseobacter shibae DFL-12	set3H22	carbon source	D-Trehalose dihydrate	D-Trehalose (C)
Dinoroseobacter shibae DFL-12	set3H43	carbon source	D-Trehalose dihydrate	D-Trehalose (C)
Dinoroseobacter shibae DFL-12	set3H20	carbon source	Glycerol	Glycerol (C)
Dinoroseobacter shibae DFL-12	set3H41	carbon source	Glycerol	Glycerol (C)
Dinoroseobacter shibae DFL-12	set3H23	carbon source	L-Glutamic acid monopotassium salt monohydrate	L-Glutamic (C)
Dinoroseobacter shibae DFL-12	set3H44	carbon source	L-Glutamic acid monopotassium salt monohydrate	L-Glutamic (C)
Dinoroseobacter shibae DFL-12	set3H24	carbon source	L-Glutamine	L-Glutamine (C)
Dinoroseobacter shibae DFL-12	set3H45	carbon source	L-Glutamine	L-Glutamine (C)
Dinoroseobacter shibae DFL-12	set3H21	carbon source	L-Malic acid disodium salt monohydrate	L-Malic (C)
Dinoroseobacter shibae DFL-12	set3H42	carbon source	L-Malic acid disodium salt monohydrate	L-Malic (C)
Dinoroseobacter shibae DFL-12	setAH23	carbon source	L-Malic acid disodium salt monohydrate	L-Malic (C)
Dinoroseobacter shibae DFL-12	set3H8	carbon source	L-Rhamnose monohydrate	L-Rhamnose (C)
Dinoroseobacter shibae DFL-12	set3H29	carbon source	L-Rhamnose monohydrate	L-Rhamnose (C)
Dinoroseobacter shibae DFL-12	set3H14	carbon source	Sodium D,L-Lactate	D,L-Lactate (C)
Dinoroseobacter shibae DFL-12	set3H35	carbon source	Sodium D,L-Lactate	D,L-Lactate (C)
Dinoroseobacter shibae DFL-12	set3H12	carbon source	Sodium D-Lactate	D-Lactate (C)
Dinoroseobacter shibae DFL-12	set3H33	carbon source	Sodium D-Lactate	D-Lactate (C)
Dinoroseobacter shibae DFL-12	set3H10	carbon source	Sodium Fumarate dibasic	Fumarate (C)
Dinoroseobacter shibae DFL-12	set3H31	carbon source	Sodium Fumarate dibasic	Fumarate (C)
Dinoroseobacter shibae DFL-12	set3H13	carbon source	Sodium L-Lactate	L-Lactate (C)
Dinoroseobacter shibae DFL-12	set3H34	carbon source	Sodium L-Lactate	L-Lactate (C)
Dinoroseobacter shibae DFL-12	set3H17	carbon source	Sodium propionate	propionate (C)
Dinoroseobacter shibae DFL-12	set3H38	carbon source	Sodium propionate	propionate (C)
Dinoroseobacter shibae DFL-12	set3H15	carbon source	Sodium pyruvate	pyruvate (C)
Dinoroseobacter shibae DFL-12	set3H36	carbon source	Sodium pyruvate	pyruvate (C)
Dinoroseobacter shibae DFL-12	set3H16	carbon source	Sodium succinate dibasic hexahydrate	succinate (C)
Dinoroseobacter shibae DFL-12	set3H37	carbon source	Sodium succinate dibasic hexahydrate	succinate (C)
Dinoroseobacter shibae DFL-12	set3H6	carbon source	Sucrose	Sucrose (C)
Dinoroseobacter shibae DFL-12	set3H27	carbon source	Sucrose	Sucrose (C)
Dinoroseobacter shibae DFL-12	set3H11	carbon source	Trisodium citrate dihydrate	Trisodium citrate (C)
Dinoroseobacter shibae DFL-12	set3H32	carbon source	Trisodium citrate dihydrate	Trisodium citrate (C)
Dinoroseobacter shibae DFL-12	set3H18	carbon source	Xylitol	Xylitol (C)
Dinoroseobacter shibae DFL-12	set3H39	carbon source	Xylitol	Xylitol (C)
Dinoroseobacter shibae DFL-12	set3H9	carbon source	a-Ketoglutaric acid disodium salt hydrate	a-Ketoglutaric (C)
Dinoroseobacter shibae DFL-12	set3H30	carbon source	a-Ketoglutaric acid disodium salt hydrate	a-Ketoglutaric (C)
Dinoroseobacter shibae DFL-12	set3H25	carbon source	casamino acids	casaminos (C)
Dinoroseobacter shibae DFL-12	set3H46	carbon source	casamino acids	casaminos (C)
Dyella japonica UNC79MFTsu3.2	set1IT094	carbon source	D-Cellobiose	D-Cellobiose (C)
Dyella japonica UNC79MFTsu3.2	set2IT012	carbon source	D-Cellobiose	D-Cellobiose (C)
Dyella japonica UNC79MFTsu3.2	set1IT089	carbon source	D-Fructose	D-Fructose (C)
Dyella japonica UNC79MFTsu3.2	set2IT007	carbon source	D-Fructose	D-Fructose (C)
Dyella japonica UNC79MFTsu3.2	set2IT010	carbon source	D-Galactose	D-Galactose (C)
Dyella japonica UNC79MFTsu3.2	set1IT088	carbon source	D-Glucose	D-Glucose (C)
Dyella japonica UNC79MFTsu3.2	set2IT006	carbon source	D-Glucose	D-Glucose (C)
Dyella japonica UNC79MFTsu3.2	set1IT091	carbon source	D-Maltose monohydrate	D-Maltose (C)
Dyella japonica UNC79MFTsu3.2	set2IT009	carbon source	D-Maltose monohydrate	D-Maltose (C)
Dyella japonica UNC79MFTsu3.2	set2IT004	carbon source	L-Alanine	L-Alanine (C)
Dyella japonica UNC79MFTsu3.2	set2IT016	carbon source	L-Alanine	L-Alanine (C)
Dyella japonica UNC79MFTsu3.2	set2IT003	carbon source	L-Proline	L-Proline (C)
Dyella japonica UNC79MFTsu3.2	set2IT015	carbon source	L-Proline	L-Proline (C)
Dyella japonica UNC79MFTsu3.2	set2IT005	carbon source	N-Acetyl-D-Glucosamine	NAG (C)
Dyella japonica UNC79MFTsu3.2	set2IT017	carbon source	N-Acetyl-D-Glucosamine	NAG (C)
Dyella japonica UNC79MFTsu3.2	set1IT095	carbon source	Sodium pyruvate	pyruvate (C)
Dyella japonica UNC79MFTsu3.2	set2IT013	carbon source	Sodium pyruvate	pyruvate (C)
Dyella japonica UNC79MFTsu3.2	set2IT008	carbon source	Sucrose	Sucrose (C)
Dyella japonica UNC79MFTsu3.2	set1IT093	carbon source	a-Cyclodextrin	a-Cyclodextrin (C)
Dyella japonica UNC79MFTsu3.2	set2IT011	carbon source	a-Cyclodextrin	a-Cyclodextrin (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT088	carbon source	Beta-Lactose	Beta-Lactose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT009	carbon source	Beta-Lactose	Beta-Lactose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT026	carbon source	Beta-Lactose	Beta-Lactose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT083	carbon source	D-Cellobiose	D-Cellobiose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT004	carbon source	D-Cellobiose	D-Cellobiose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT021	carbon source	D-Cellobiose	D-Cellobiose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT074	carbon source	D-Fructose	D-Fructose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT091	carbon source	D-Fructose	D-Fructose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT012	carbon source	D-Fructose	D-Fructose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT079	carbon source	D-Galactose	D-Galactose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT096	carbon source	D-Galactose	D-Galactose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT017	carbon source	D-Galactose	D-Galactose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT086	carbon source	D-Glucosamine Hydrochloride	D-Glucosamine Hydrochloride (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT007	carbon source	D-Glucosamine Hydrochloride	D-Glucosamine Hydrochloride (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT024	carbon source	D-Glucosamine Hydrochloride	D-Glucosamine Hydrochloride (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT073	carbon source	D-Glucose	D-Glucose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT090	carbon source	D-Glucose	D-Glucose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT011	carbon source	D-Glucose	D-Glucose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT077	carbon source	D-Maltose monohydrate	D-Maltose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT094	carbon source	D-Maltose monohydrate	D-Maltose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT015	carbon source	D-Maltose monohydrate	D-Maltose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT084	carbon source	D-Mannitol	D-Mannitol (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT005	carbon source	D-Mannitol	D-Mannitol (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT022	carbon source	D-Mannitol	D-Mannitol (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT089	carbon source	D-Mannose	D-Mannose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT010	carbon source	D-Mannose	D-Mannose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT027	carbon source	D-Mannose	D-Mannose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT080	carbon source	D-Raffinose pentahydrate	D-Raffinose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT001	carbon source	D-Raffinose pentahydrate	D-Raffinose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT018	carbon source	D-Raffinose pentahydrate	D-Raffinose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT087	carbon source	D-Salicin	D-Salicin (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT008	carbon source	D-Salicin	D-Salicin (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT025	carbon source	D-Salicin	D-Salicin (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT085	carbon source	D-Trehalose dihydrate	D-Trehalose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT006	carbon source	D-Trehalose dihydrate	D-Trehalose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT023	carbon source	D-Trehalose dihydrate	D-Trehalose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT078	carbon source	D-Xylose	D-Xylose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT095	carbon source	D-Xylose	D-Xylose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT016	carbon source	D-Xylose	D-Xylose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT076	carbon source	L-Arabinose	L-Arabinose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT093	carbon source	L-Arabinose	L-Arabinose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT014	carbon source	L-Arabinose	L-Arabinose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT081	carbon source	L-Rhamnose monohydrate	L-Rhamnose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT002	carbon source	L-Rhamnose monohydrate	L-Rhamnose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT019	carbon source	L-Rhamnose monohydrate	L-Rhamnose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT075	carbon source	Sucrose	Sucrose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT092	carbon source	Sucrose	Sucrose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT013	carbon source	Sucrose	Sucrose (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set2IT082	carbon source	a-Cyclodextrin	a-Cyclodextrin (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT003	carbon source	a-Cyclodextrin	a-Cyclodextrin (C)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT020	carbon source	a-Cyclodextrin	a-Cyclodextrin (C)
Escherichia coli BW25113	set1IT005	carbon source	D-Fructose	D-Fructose (C)
Escherichia coli BW25113	set1IT006	carbon source	D-Fructose	D-Fructose (C)
Escherichia coli BW25113	set1IT013	carbon source	D-Galactose	D-Galactose (C)
Escherichia coli BW25113	set1IT014	carbon source	D-Galactose	D-Galactose (C)
Escherichia coli BW25113	set1IT045	carbon source	D-Galacturonic Acid monohydrate	D-Galacturonic Acid (C)
Escherichia coli BW25113	set1IT046	carbon source	D-Galacturonic Acid monohydrate	D-Galacturonic Acid (C)
Escherichia coli BW25113	set2IT095	carbon source	D-Galacturonic Acid monohydrate	D-Galacturonic Acid (C) M9
Escherichia coli BW25113	set1IT067	carbon source	D-Galacturonic Acid monohydrate	D-Galacturonic Acid (C) MOPS
Escherichia coli BW25113	set1IT068	carbon source	D-Galacturonic Acid monohydrate	D-Galacturonic Acid (C) MOPS
